,,,,,,,,
,mod 名,カテゴリ1,カテゴリ2,確定,備考,url,列 1,列 2
,┗ ,銃,addon,☆,TaCZ x CREATE,https://www.curseforge.com/minecraft/mc-mods/tacz-create,,2
,┗ ,銃,addon,☆,TaCZ x CREATE,https://www.curseforge.com/minecraft/mc-mods/create-tacz-automation,,3
,┗  zip,銃,addon,△,zip,https://www.curseforge.com/minecraft/customization/tacz-create-armorer-koei,,4
,┗  zip,銃,addon,△,zip,https://www.curseforge.com/minecraft/mc-addons/mw-gun-pack-for-tacz,,5
,┗  zip,銃,addon,△,zip,https://www.curseforge.com/minecraft/customization/tacz-anomaly-pack,,6
,┗  zip,銃,addon,△,zip,https://www.curseforge.com/minecraft/customization/tacz-beansguns-gunpack,,7
,┗  zip,銃,addon,△,zip,https://www.curseforge.com/minecraft/customization/timeless-and-classics-zero-laffey-gunpack,,8
,┗  zip,銃,addon,△,zip,https://www.curseforge.com/minecraft/customization/tacz-classics-reborn,,9
,┗  zip,銃,addon,△,zip,https://www.curseforge.com/minecraft/customization/tacz-gunpowder-revolution-great-war-gunpack,,10
,┗  zip,銃,addon,△,zip,https://www.curseforge.com/minecraft/customization/tacz-immersive-armorer-koei,,11
,┗  zip,銃,addon,△,zip,https://www.curseforge.com/minecraft/customization/tacz-call-of-duty-warzone-gunpack,,12
,┗  zip,銃,addon,△,zip,https://www.curseforge.com/minecraft/customization/suffuse-gunsmoke,,13
,Item Scrapper Pack - TACZ,銃,addon,〇,,https://www.curseforge.com/minecraft/mc-mods/item-scrapper-pack-tacz,,185
,TaCZ addon,銃,addon,〇,,https://www.curseforge.com/minecraft/mc-mods/tacz-addon,,186
,TACZ Bullet Proof Enchant Forge Add-on,銃,addon,〇,,https://www.curseforge.com/minecraft/mc-mods/tacz-bullet-proof-enchant-add-on,,187
,TaCZ x Guns Lights Addon [NEW],銃,addon,〇,,https://www.curseforge.com/minecraft/mc-mods/tacz-x-gunslightsaddon-addon,,188
,[SBW] Superb Warfare,銃,,〇,https://www.youtube.com/watch?v=Ap7ukR0ck6Q&pp=ygUNMS4yMC4xIOaIpui7ig%3D%3D,https://www.curseforge.com/minecraft/mc-mods/superb-warfare,,139
,┗ ,銃,addon,△,zip,https://www.curseforge.com/minecraft/data-packs/sbw-vanilla-armor-compatibility,,140
,┗ ,銃,addon,△,zip,https://www.curseforge.com/minecraft/mc-mods/sbw-vintage-vehicle-pack,,141
,┗ ,銃,addon,△,zip,https://www.curseforge.com/minecraft/mc-mods/mcsp-military-vehicle,,142
,┗ ,銃,addon,△,zip,https://www.curseforge.com/minecraft/mc-mods/ashvehicle,,143
,┗ ,銃,addon,△,zip,https://www.curseforge.com/minecraft/mc-mods/superb-warfare-warborn-military-pack,,144
,Just Enough Guns,銃,,〇,,https://www.curseforge.com/minecraft/mc-mods/just-enough-guns,,167
,The Hordes ,難易度上昇系,,☆,地上のホード・感染,https://www.curseforge.com/minecraft/mc-mods/the-hordes,,201
,Majrusz,難易度上昇系,,☆,時間経過で難易度上昇,https://www.curseforge.com/minecraft/mc-mods/majruszs-progressive-difficulty,,202
,Zombie Awareness,難易度上昇系,,☆,音・光・血で追跡,https://www.curseforge.com/minecraft/mc-mods/zombie-awareness,,203
,Enhanced AI,難易度上昇系,,☆,敵AI強化、防衛の意味付け,https://www.curseforge.com/minecraft/mc-mods/enhanced-ai,,204
,Born in Chaos,難易度上昇系,,☆,追加強敵・ボス・冒険感,https://www.curseforge.com/minecraft/mc-mods/born-in-chaos,,205
,In Control / ,難易度上昇系,,☆,バランス調整・スポーン制御,https://www.curseforge.com/minecraft/mc-mods/in-control,,206
,Bad Mobs,難易度上昇系,,☆,,https://www.curseforge.com/minecraft/mc-mods/bad-mobs,,
,drawers,便利系,,〇,ドロワー,https://www.curseforge.com/minecraft/mc-mods/storage-drawers,,30
,mmmmmmmmmmmm,便利系,,〇,DPS チェック,https://www.curseforge.com/minecraft/mc-mods/mmmmmmmmmmmm,,31
,Sophisticated Backpacks,便利系,,〇,多機能バックパック,https://www.curseforge.com/minecraft/mc-mods/sophisticated-backpacks,,32
,gravestone,便利系,,〇,墓,https://www.curseforge.com/minecraft/mc-mods/gravestone-mod,,33
,Hole Filler Mod,便利系,,〇,地面の穴埋めが楽になる,https://www.curseforge.com/minecraft/mc-mods/hole-filler-mod,,34
,Nature's Compass,便利系,,〇,バイオームコンパス,https://www.curseforge.com/minecraft/mc-mods/natures-compass,,35
,Construction Wand,便利系,,〇,ブロック設置補助,https://www.curseforge.com/minecraft/mc-mods/construction-wand,,36
,Animal Feeding Trough,便利系,,〇,自動餌mod,https://www.curseforge.com/minecraft/mc-mods/animal-feeding-trough,,41
,Cosmetic Armor Reworked,便利系,,〇,アーマー来ても表示させない,https://www.curseforge.com/minecraft/mc-mods/cosmetic-armor-reworked,,39
,Climb Ladders Fast,便利系,,〇,梯子上り下り早くする,https://www.curseforge.com/minecraft/mc-mods/climb-ladders-fast,,43
,KleeSlabs,便利系,,〇,半ブロックを片方だけ壊せるようになる,https://www.curseforge.com/minecraft/mc-mods/kleeslabs,,44
